step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,TL_stopped,TL_accumulated_waiting_time,TL_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
10.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
15.0,2,0,0,0,2,0,0.0,0.0,11.747392437427813,0,0.0,0.8596121098654546,0,0.0
20.0,2,0,0,0,2,0,0.0,0.0,13.33743512916383,0,0.0,0.9613306611527983,0,0.0
25.0,2,0,0,0,2,0,0.0,0.0,13.605148665636165,0,0.0,0.9803299461192212,0,0.0
30.0,3,0,0,0,3,0,0.0,0.0,13.19639643396179,0,0.0,0.9265829260832912,0,0.0
35.0,4,0,0,0,4,0,0.0,0.0,13.370697301576886,0,0.0,0.9082996366208054,0,0.0
40.0,5,0,0,0,5,0,0.0,0.0,14.021109808304008,0,0.0,0.9635115917843902,0,0.0
45.0,6,0,0,0,6,0,0.0,0.0,13.962793046730708,0,0.0,0.970887514247571,0,0.0
50.0,6,0,0,0,6,0,0.0,0.0,14.172643850198456,0,0.0,0.9867105545829618,0,0.0
55.0,8,0,0,0,8,0,0.0,0.0,13.479603208404948,0,0.0,0.9399350595715465,0,0.0
60.0,10,0,0,0,10,0,0.0,0.0,13.348965796743443,0,0.0,0.9394777429110244,0,0.0
65.0,12,0,0,0,12,0,0.0,0.0,12.541796230770458,0,0.0,0.9667752652893552,0,0.0
70.0,12,0,0,0,12,0,0.0,0.0,12.992303087321313,0,0.0,0.9805055846234545,0,0.0
75.0,14,0,0,0,14,0,0.0,0.0,12.706412039244787,0,0.0,0.9360878858232936,0,0.0
80.0,14,0,1,0,14,0,4.0,0.2857142857142857,11.322644500033666,1,4.0,0.8166358015668046,1,4.0
85.0,16,0,2,0,16,0,13.0,0.8125,10.499277511763058,2,14.0,0.7682163814556339,2,14.0
90.0,16,0,2,0,16,0,23.0,1.4375,10.947360811956479,2,23.0,0.8414255010368948,2,23.0
95.0,20,0,3,0,20,0,34.0,1.7,10.412662366711922,3,34.0,0.7604374723913245,3,34.0
100.0,24,0,3,0,24,0,49.0,2.0416666666666665,10.800865103633456,3,49.0,0.7700625377050627,3,49.0
