step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,TL_stopped,TL_accumulated_waiting_time,TL_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
10.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
15.0,2,0,0,0,2,0,0.0,0.0,11.692459669720847,0,0.0,0.8904439603860331,0,0.0
20.0,2,0,0,0,2,0,0.0,0.0,12.822881735334807,0,0.0,0.9713410195431835,0,0.0
25.0,2,0,0,0,2,0,0.0,0.0,12.983544432264456,0,0.0,0.9840837730433631,0,0.0
30.0,3,0,0,0,3,0,0.0,0.0,12.807418297431234,0,0.0,0.9078135886733607,0,0.0
35.0,4,0,0,0,4,0,0.0,0.0,13.441363652817524,0,0.0,0.9372425856509334,0,0.0
40.0,5,0,0,0,5,0,0.0,0.0,13.941297480158772,0,0.0,0.9747012336380314,0,0.0
45.0,6,0,0,0,6,0,0.0,0.0,13.698464980512341,0,0.0,0.9705132851282516,0,0.0
50.0,6,0,0,0,6,0,0.0,0.0,13.86769559943145,0,0.0,0.9837888428349298,0,0.0
55.0,8,0,0,0,8,0,0.0,0.0,13.151379564365147,0,0.0,0.963185901822087,0,0.0
60.0,10,0,0,0,10,0,0.0,0.0,13.065999468693732,0,0.0,0.9517250604997767,0,0.0
65.0,12,0,0,0,12,0,0.0,0.0,12.989311208289456,0,0.0,0.935079789874997,0,0.0
70.0,12,0,1,0,12,0,3.0,0.25,12.547871899045807,1,3.0,0.9045518330974377,1,3.0
75.0,14,0,0,0,14,0,0.0,0.0,12.114904831043868,0,7.0,0.9073489298909755,0,7.0
80.0,14,0,1,0,14,0,2.0,0.14285714285714285,11.784822369359777,1,2.0,0.8956239021725803,1,2.0
85.0,16,0,0,0,16,0,0.0,0.0,11.908761285125887,0,6.0,0.8660254188100732,0,6.0
90.0,16,0,0,0,16,0,0.0,0.0,12.674225786481795,0,0.0,0.9489066000341261,0,0.0
95.0,20,0,0,0,20,0,0.0,0.0,12.184655925235656,0,1.0,0.867304265676596,0,1.0
100.0,24,0,0,0,24,0,0.0,0.0,12.68086455136036,0,0.0,0.9258031473030346,0,0.0
