step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,0_stopped,0_accumulated_waiting_time,0_average_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,10_stopped,10_accumulated_waiting_time,10_average_speed,11_stopped,11_accumulated_waiting_time,11_average_speed,12_stopped,12_accumulated_waiting_time,12_average_speed,13_stopped,13_accumulated_waiting_time,13_average_speed,14_stopped,14_accumulated_waiting_time,14_average_speed,15_stopped,15_accumulated_waiting_time,15_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,3_stopped,3_accumulated_waiting_time,3_average_speed,4_stopped,4_accumulated_waiting_time,4_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,7_stopped,7_accumulated_waiting_time,7_average_speed,8_stopped,8_accumulated_waiting_time,8_average_speed,9_stopped,9_accumulated_waiting_time,9_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,16,0,0,0,16,0,0.0,0.0,13.224790671358647,0,0.0,0.9389259396629878,0,0.0,0.931353038353268,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9439821876119117,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9373949555896162,0,0.0,0.9431711891297379,0,0.0,0.9404253419274424,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9291601724381102,0,0.0,1.0,0,0.0
10.0,32,0,0,0,32,0,0.0,0.0,13.390370601803285,0,0.0,0.9522715278047852,0,0.0,0.947508245375309,0,0.0,1.0,0,0.0,1.0,0,0.0,0.8993902820053069,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9501511187895393,0,0.0,0.9559395890740306,0,0.0,0.9207864839819399,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9460449738779632,0,0.0,1.0,0,0.0
15.0,40,0,0,0,40,0,0.0,0.0,12.415709519737447,0,0.0,0.8439833934599539,0,0.0,0.9272458369582408,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9550075367377464,0,0.0,0.7226357401849413,0,0.0,1.0,0,0.0,1.0,0,0.0,0.6129155992488606,0,0.0,0.924808608695923,0,0.0,0.9495052941072285,0,0.0,0.8412949162740908,0,0.0,1.0,0,0.0,0.9454382524050811,0,0.0,0.9443532167238307,0,0.0,0.928657747704677,0,0.0
20.0,56,0,5,0,56,0,14.0,0.25,11.605467181187331,1,3.0,0.7413543211015036,0,0.0,0.9320466724443076,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9897469396897852,0,0.0,0.9522256956012853,0,0.0,1.0,0,0.0,1.0,3,10.0,0.491700772617016,1,1.0,0.748217213564088,0,0.0,0.9093860005656758,0,0.0,0.9655102280148941,0,0.0,1.0,0,0.0,0.9265562936854927,0,0.0,0.9605271386177948,0,0.0,0.8952931909783546,5,14.0
25.0,72,0,7,0,72,0,38.0,0.5277777777777778,10.46383720785972,0,1.0,0.7482965574017219,0,0.0,0.9195615717894453,0,0.0,1.0,0,0.0,0.7528919950152759,0,0.0,0.9446259218881523,0,0.0,0.6999823570278472,0,0.0,1.0,0,0.0,1.0,4,28.0,0.4133494069954966,2,9.0,0.5855857855996726,1,1.0,0.7640066377195878,0,0.0,0.8609498582090285,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9622232229365271,0,0.0,0.8949043101381635,7,39.0
30.0,80,0,8,0,80,0,24.0,0.3,9.18665889526786,2,5.0,0.6634138853275816,1,1.0,0.5638687232975507,0,0.0,0.9252555405588602,0,0.0,0.941286055611237,0,0.0,0.9858086036937223,2,6.0,0.43883332297641997,0,0.0,1.0,0,0.0,1.0,0,18.0,0.5370771542339692,0,0.0,0.6020907559739935,1,10.0,0.7856267373464999,2,6.0,0.6341134733698848,0,2.0,0.3806539411541664,0,4.0,0.373964461230455,0,0.0,0.5932077249949225,0,0.0,0.9074731897112986,8,52.0
35.0,96,0,3,0,96,0,4.0,0.041666666666666664,9.587254506787717,2,3.0,0.6049992880594236,0,4.0,0.6450118623041456,0,0.0,0.8522760613755376,0,0.0,0.41358372670085575,0,0.0,0.9334440691750219,0,2.0,0.5238006300011793,0,2.0,0.39336045459640634,0,0.0,1.0,0,4.0,0.7482891295106671,0,0.0,0.8679221101820536,0,4.0,0.9432264176524457,1,4.0,0.5359063398624071,0,8.0,0.700318945282293,0,4.0,0.8630545552723059,0,2.0,0.6473578800283908,0,1.0,0.4711251751784337,3,38.0
40.0,112,0,12,0,112,0,46.0,0.4107142857142857,10.724611049967947,4,16.0,0.6380236529541495,1,6.0,0.7552887990552032,0,0.0,0.886004159831988,2,6.0,0.00032175781339772503,1,2.0,0.6440214899976685,0,0.0,0.8312034684082186,0,4.0,0.8467025404958125,0,0.0,1.0,0,4.0,0.9262941136507308,0,0.0,0.9617249931594227,0,0.0,0.6600873125743848,3,15.0,0.48271629558969475,0,6.0,0.8940977512225022,0,4.0,0.8832098496824987,0,2.0,0.9439266315938235,1,8.0,0.6990117472766197,12,73.0
45.0,120,0,5,0,120,0,36.0,0.3,10.388613484211028,0,9.0,0.578055492574735,0,4.0,0.8139344278179645,0,2.0,0.8237076760500845,0,0.0,0.8424581504676278,0,0.0,0.7462863261885995,0,4.0,0.6852486758788813,0,4.0,0.9095123153268818,0,4.0,0.3901099088257092,0,4.0,0.8547201806789099,0,0.0,0.9644472653424901,0,4.0,0.5830771757513922,5,40.0,0.11028061698869197,0,4.0,0.884185449237743,0,0.0,0.8002624531340378,0,2.0,0.8875295702227137,0,3.0,0.9139070493534245,5,84.0
50.0,136,0,7,0,136,0,20.0,0.14705882352941177,10.70120545007127,2,8.0,0.6794719449706573,1,6.0,0.43883814148710787,0,2.0,0.9128075839773631,0,0.0,0.9087233939818222,0,0.0,0.9607006660721084,0,4.0,0.9443042758762236,0,0.0,0.9066755122418181,0,4.0,0.9483172664770358,2,5.0,0.6397778286703301,0,0.0,0.9136878503424684,0,4.0,0.9123661001636887,0,35.0,0.6377988627401319,1,2.0,0.6430638787557702,0,0.0,0.8565244608891032,1,3.0,0.5472421960003278,0,4.0,0.5742789475763889,7,77.0
