step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,0_stopped,0_accumulated_waiting_time,0_average_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,10_stopped,10_accumulated_waiting_time,10_average_speed,11_stopped,11_accumulated_waiting_time,11_average_speed,12_stopped,12_accumulated_waiting_time,12_average_speed,13_stopped,13_accumulated_waiting_time,13_average_speed,14_stopped,14_accumulated_waiting_time,14_average_speed,15_stopped,15_accumulated_waiting_time,15_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,3_stopped,3_accumulated_waiting_time,3_average_speed,4_stopped,4_accumulated_waiting_time,4_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,7_stopped,7_accumulated_waiting_time,7_average_speed,8_stopped,8_accumulated_waiting_time,8_average_speed,9_stopped,9_accumulated_waiting_time,9_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,16,0,0,0,16,0,0.0,0.0,13.117219508256055,0,0.0,0.9500648089240958,0,0.0,0.9365197751151808,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9494755455783208,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9409087463361329,0,0.0,0.9391647915521094,0,0.0,0.9388218570457115,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9451985963414223,0,0.0,1.0,0,0.0
10.0,32,0,0,0,32,0,0.0,0.0,13.061342581838204,0,0.0,0.9229636872734173,0,0.0,0.9640049778447948,0,0.0,1.0,0,0.0,1.0,0,0.0,0.8976766173704454,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9673576010172628,0,0.0,0.9695250325861351,0,0.0,0.9642150048801916,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9686446367125237,0,0.0,1.0,0,0.0
15.0,40,0,0,0,40,0,0.0,0.0,11.450904766367263,0,0.0,0.834917774283646,0,0.0,0.7855282346220347,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9460627698948403,0,0.0,0.7016956198674438,0,0.0,1.0,0,0.0,1.0,0,0.0,0.7130177904936411,0,0.0,0.7541642056566852,0,0.0,0.9390310184905613,0,0.0,0.8908863044254083,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9505095364496078,0,0.0,0.9333465538612139,0,0.0
20.0,56,0,7,0,56,0,18.0,0.32142857142857145,10.466448769558298,1,3.0,0.7061925333016075,2,3.0,0.6670277425545162,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9271130097011198,0,0.0,0.9614638315653644,0,0.0,1.0,0,0.0,1.0,3,7.0,0.5352063786817306,1,5.0,0.5390067495035974,0,0.0,0.9520415516759374,0,0.0,0.9331142423914436,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9666470990450909,0,0.0,0.9444118118261557,7,18.0
25.0,72,0,0,0,72,0,0.0,0.0,9.751080832042442,0,1.0,0.7477574892378367,0,3.0,0.684370111986081,0,0.0,1.0,0,0.0,1.0,0,0.0,0.6295902647868289,0,0.0,0.5912363985636672,0,0.0,1.0,0,0.0,1.0,0,4.0,0.6955034143574726,0,3.0,0.6427941824247366,0,2.0,0.660028777337585,0,4.0,0.8237000666540963,0,2.0,0.44608145962222384,0,4.0,0.42755037463721224,0,0.0,0.9703771902556362,0,0.0,0.7527687916497124,0,23.0
30.0,80,0,14,0,80,0,34.0,0.425,8.94524918326688,2,5.0,0.6927905903912626,2,4.0,0.48685228455084784,0,0.0,1.0,0,0.0,1.0,3,11.0,0.4516349412840301,2,5.0,0.014638890453563771,0,0.0,1.0,0,0.0,1.0,0,0.0,0.8844934740003318,0,0.0,0.9449204825173079,1,3.0,0.7597904232060949,1,5.0,0.6834435687998798,0,4.0,0.8588038016066721,0,4.0,0.8950745527161651,1,4.0,0.5713900764376202,2,5.0,0.2583606687944296,14,50.0
35.0,96,0,6,0,96,0,23.0,0.23958333333333334,8.582275624603419,0,2.0,0.6583957655718188,0,5.0,0.5888562824242599,0,2.0,0.3747134220860432,0,0.0,1.0,0,7.0,0.5000431100289503,0,3.0,0.2225837881432243,0,4.0,0.3798488265012352,0,0.0,1.0,0,2.0,0.8267684703125913,2,2.0,0.6088005763702194,2,9.0,0.6618879993697786,0,3.0,0.7003076330288394,0,4.0,0.8689711127127822,0,4.0,0.8740176084627348,2,14.0,0.5209170837047834,0,2.0,0.15442070760474183,6,63.0
40.0,112,0,10,0,112,0,33.0,0.29464285714285715,9.414979630759664,2,8.0,0.6830860079043309,2,10.0,0.7049314832178457,0,4.0,0.8854884679844615,0,0.0,1.0,0,0.0,0.868454794776331,0,4.0,0.8442026093204307,0,4.0,0.9365742068239818,0,0.0,1.0,0,4.0,0.8383900489331177,4,15.0,0.4475834811051894,0,3.0,0.4893036102885067,1,8.0,0.41967443216089567,0,4.0,0.8642854746779951,1,6.0,0.34169895709377124,0,6.0,0.6916902382155559,0,2.0,0.44738290885335585,10,78.0
45.0,120,0,19,0,120,0,73.0,0.6083333333333333,8.931768361833607,4,22.0,0.541635549035779,4,25.0,0.6580129909078614,0,4.0,0.9042006570756657,0,3.0,0.4677793707143386,0,0.0,0.9499164082970775,0,4.0,0.8749863351153115,0,4.0,0.7906648273058848,0,0.0,1.0,1,9.0,0.7173997923967488,0,10.0,0.5740833597475586,5,17.0,0.4023435452557427,1,13.0,0.5458811667579443,3,8.0,0.5094795697493801,0,8.0,0.2785833937762307,1,4.0,0.7091379843675752,0,7.0,0.7278015353352132,19,138.0
50.0,136,0,11,0,136,0,34.0,0.25,8.751731014674137,0,11.0,0.5560790554730543,1,18.0,0.4514391630742539,1,3.0,0.4461370592531089,0,3.0,0.9041961892495639,0,2.0,0.6372920224330095,0,0.0,0.8082095101710428,2,7.0,0.5488438862013213,0,0.0,1.0,0,3.0,0.5118588835904656,0,0.0,0.9393518125456578,1,23.0,0.4931432353792079,0,8.0,0.7803886061851584,5,28.0,0.3047008149043653,0,4.0,0.8814071760478054,1,4.0,0.6806073572414101,0,7.0,0.8658524338646743,11,121.0
55.0,152,0,21,0,152,0,82.0,0.5394736842105263,9.360606322240997,1,4.0,0.7522981277613515,6,26.0,0.36707837298282875,4,21.0,0.24188438666337594,0,3.0,0.9243469291310614,2,9.0,0.6573261201057562,0,0.0,0.6091206610274861,0,2.0,0.8207233778199851,0,4.0,0.4142562804781851,2,9.0,0.656120706798539,0,0.0,0.8983119567335504,2,14.0,0.6518834735772175,1,6.0,0.7757980389183767,0,25.0,0.6745734029049785,0,4.0,0.8722354862141207,2,12.0,0.7111550533311357,1,8.0,0.6051598174351711,21,147.0
60.0,160,0,18,0,160,0,71.0,0.44375,8.79156030012042,2,3.0,0.6978057573335004,4,42.0,0.3671987194656154,0,17.0,0.6568620224903409,1,8.0,0.35732922874932455,0,5.0,0.5806677372800886,1,7.0,0.5572194469012972,0,0.0,0.8326094900455124,0,4.0,0.9462918935128972,2,23.0,0.5442815301592694,1,1.0,0.5686849291723348,0,7.0,0.7256239855897383,1,13.0,0.7346746893671436,0,3.0,0.9046474535068519,2,8.0,0.557877469191205,0,4.0,0.6999131939040456,4,26.0,0.3412333054975378,18,171.0
